CustomerID,ZipCode,State
3516012,27302,NC
3530012,43067,OH
3548012,35124,AL
3559012,66860,KS
3589012,27574,NC
3642012,13903,NY
3653012,33612,FL
3673012,67601,KS
3698012,57006,SD
3731012,51501,IA
3734012,58703,ND
3752012,30157,GA
3754012,77626,TX
3759012,32796,FL
3760012,59741,MT
3762012,68826,NE
3791012,79404,TX
3808012,51239,IA
3845012,42420,KY
3846012,01864,MA
3854012,40403,KY
3891012,57045,SD
3919012,31503,GA
3950012,02346,MA
3953012,77502,TX
3959012,10509,NY
3980012,33126,FL
3994012,72019,AR
4022012,15025,PA
4025012,35961,AL
4031012,71040,LA
4036012,69337,NE
4051012,10941,NY
4059012,80759,CO
4061012,61540,IL
4079012,04330,ME
4083012,80233,CO
4105012,35005,AL
4132012,70715,LA
4159012,67401,KS
4170012,68661,NE
4180012,50238,IA
4188012,44266,OH
4244012,44133,OH
4248012,31047,GA
4252012,70535,LA
4263012,51201,IA
4267012,55811,MN
4278012,12834,NY
4299012,54868,WI
4308012,54922,WI
4309012,84036,UT
4313012,56128,MN
4336012,79108,TX
4345012,38834,MS
4369012,68862,NE
4371012,15717,PA
4432012,28344,NC
4453012,92154,CA
4472012,38401,TN
4506012,70456,LA
4605012,30439,GA
4610012,72301,AR
4629012,57071,SD
4642012,67601,KS
4659012,32448,FL
4689012,69153,NE
4723012,49896,MI
4727012,18080,PA
4776012,62806,IL
4781012,33166,FL
4782012,84722,UT
4814012,55349,MN
4822012,14781,NY
4869012,74868,OK
4895012,53048,WI
4920012,44654,OH
4930012,51632,IA
4933012,32904,FL
4934012,57042,SD
4948012,36323,AL
4950012,57039,SD
4964012,78624,TX
4981012,35951,AL
5007012,31513,GA
5013012,83676,ID
5045012,27253,NC
5064012,63537,MO
5065012,56139,MN
5078012,51354,IA
5081012,68718,NE
5095012,70630,LA
5096012,45177,OH
5113012,68620,NE
5116012,39367,MS
5136012,72065,AR
5142012,40004,KY
5153012,76140,TX
5189012,16374,PA
5194012,17255,PA
5211012,84050,UT
5215012,68818,NE
5220012,55318,MN
5249012,39208,MS
5250012,75672,TX
5254012,75159,TX
5260012,65632,MO
5270012,65202,MO
5281012,25405,WV
5291012,32054,FL
5332012,14069,NY
5352012,53929,WI
5355012,68029,NE
5402012,80537,CO
5416012,34610,FL
5452012,29003,SC
5484012,29624,SC
5494012,73036,OK
5495012,14139,NY
5496012,56572,MN
5520012,41093,KY
5527012,36871,AL
5531012,30474,GA
5537012,15856,PA
5554012,50147,IA
5559012,33166,FL
5586012,75009,TX
5597012,56142,MN
5638012,28572,NC
5639012,48642,MI
5641012,71449,LA
5694012,75757,TX
5695012,58203,ND
5706012,85048,AZ
5726012,24351,VA
5729012,67133,KS
5736012,57703,SD
5751012,50482,IA
5759012,68133,NE
5761012,66436,KS
5786012,76028,TX
5818012,60120,IL
5833012,77360,TX
5842012,89027,NV
5845012,07722,NJ
5847012,68869,NE
5867012,78631,TX
5883012,46774,IN
5887012,70546,LA
5899012,36758,AL
5910012,64428,MO
5921012,70761,LA
5926012,59011,MT
5953012,68756,NE
5969012,38053,TN
5987012,16101,PA
5993012,77340,TX
6005012,98208,WA
6008012,83330,ID
6021012,57371,SD
6023012,13329,NY
6070012,55783,MN
6071012,75156,TX
6083012,30528,GA
6103012,33166,FL
6116012,21502,MD
6119012,29107,SC
6134012,56081,MN
6137012,70345,LA
6150012,65256,MO
6153012,85347,AZ
6155012,67661,KS
6164012,96133,CA
6178012,81428,CO
6190012,82520,WY
6276012,48444,MI
6277012,38351,TN
6287012,41230,KY
6417012,24529,VA
6429012,65626,MO
6436012,57045,SD
6442012,28391,NC
6455012,49403,MI
6462012,18656,PA
6464012,05846,VT
6471012,64772,MO
6479012,30019,GA
6511012,73018,OK
6537012,47270,IN
6552012,95665,CA
6590012,68788,NE
6611012,58401,ND
6626012,16701,PA
6629012,45744,OH
6642012,72834,AR
6644012,68005,NE
6645012,56301,MN
6648012,31545,GA
6655012,57270,SD
6664012,60120,IL
6666012,57325,SD
6690012,76202,TX
6785012,85122,AZ
6801012,70634,LA
6805012,16201,PA
6810012,18818,PA
6826012,68310,NE
6836012,78941,TX
6850012,33182,FL
6853012,08833,NJ
6855012,69101,NE
6864012,16335,PA
6876012,57342,SD
6901012,39443,MS
6922012,43701,OH
6934012,29550,SC
6941012,56345,MN
6950012,77807,TX
6956012,66520,KS
